"Story","Title","Result","Date","Stability","Duration (s)"
"Iniciar sesión en Spotify","Login exitoso en spotify","PENDING","2023-11-12T19:26:24.5578434-05:00[America/Bogota]","0.0","0.16"
"Iniciar sesión en Spotify","Login exitoso en demo blaze","PENDING","2023-11-17T22:14:36.4047005-05:00[America/Bogota]","0.0","0.18"
"Login en Demo Blaze","Login exitoso en demo blaze","PENDING","2023-11-10T12:04:06.2877888-05:00[America/Bogota]","0.0","0.21"
