"Story","Title","Result","Date","Stability","Duration (s)"
"Login en Demo Blaze","Login exitoso en demo blaze","SUCCESS","2023-11-15T21:52:28.8021335-05:00[America/Bogota]","0.0","31.02"
"Login en Spotify",": Login exitoso en spotify","SUCCESS","2023-11-16T00:31:41.1486167-05:00[America/Bogota]","0.0","50.03"
