"Story","Title","Result","Date","Stability","Duration (s)"
"Login en Spotify","Login exitoso en spotify","PENDING","2023-11-13T23:26:03.9856736-05:00[America/Bogota]","0.0","0.54"
"Login en Demo Blaze","Login exitoso en demo blaze","PENDING","2023-11-10T12:04:06.2877888-05:00[America/Bogota]","0.0","0.21"
