"Story","Title","Result","Date","Stability","Duration (s)"
"Login en Demo Spotify","Login exitoso en spotify","PENDING","2023-11-16T20:18:07.6397403-05:00[America/Bogota]","0.0","0.09"
"Registro de usuario","Registro de usuario exitoso","PENDING","2023-11-15T21:58:12.7981587-05:00[America/Bogota]","0.0","0.11"
